Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls
Basin Uranium Corp (formerly was BDX/Black Shield Metals Corp until 2021-10-26),NCLR,Mining,,CSE Composite,CAD,2021-04-09 04:00:00,https://thecse.com/en/listings/mining/basin-uranium-corp-(formerly-was-bdx/black-shield-metals-corp-until-2021-10-26)
BC Craft Supply Co. Ltd.,CRFT,Life Sciences,Cannabis,,CAD,2019-06-03 04:00:00,https://thecse.com/en/listings/life-sciences/bc-craft-supply-co-ltd
Bee Vectoring Technologies International Inc.,BEE,Technology,,CSE Composite,CAD,2020-08-21 04:00:00,https://thecse.com/en/listings/technology/bee-vectoring-technologies-international-inc
Belgravia Hartford Capital Inc.,BLGV,Diversified Industries,,CSE Composite,CAD,2017-11-23 05:00:00,https://thecse.com/en/listings/diversified-industries/belgravia-hartford-capital-inc
BellRock Brands Inc.,BRCK.U,Life Sciences,US Cannabis,,USD,2020-11-09 05:00:00,https://thecse.com/en/listings/life-sciences/bellrock-brands-inc
Benjamin Hill Mining Corp (formerly was MOJ/Mojave Gold Corp. until 2021-04-23),BNN,Mining,,CSE Composite,CAD,2018-07-20 04:00:00,https://thecse.com/en/listings/mining/benjamin-hill-mining-corp-(formerly-was-moj/mojave-gold-corp-until-2021-04-23)
Berkley Renewables Inc.,BKS,Diversified Industries,,,CAD,2015-09-03 04:00:00,https://thecse.com/en/listings/diversified-industries/berkley-renewables-inc
Better Plant Sciences Inc.,PLNT,Life Sciences,,,CAD,2018-12-14 05:00:00,https://thecse.com/en/listings/life-sciences/better-plant-sciences-inc
BetterLife Pharma Inc.,BETR,Life Sciences,,CSE Composite,CAD,2020-09-01 04:00:00,https://thecse.com/en/listings/life-sciences/betterlife-pharma-inc
BevCanna Enterprises Inc.,BEV,Life Sciences,Cannabis,CSE Composite,CAD,2019-07-02 04:00:00,https://thecse.com/en/listings/life-sciences/bevcanna-enterprises-inc
Beyond Medical Technologies Inc,DOCT,Technology,,,CAD,2017-10-26 04:00:00,https://thecse.com/en/listings/technology/beyond-medical-technologies-inc
Bhang Inc.,BHNG,Life Sciences,US Cannabis,CSE Composite,CAD,2019-07-11 04:00:00,https://thecse.com/en/listings/life-sciences/bhang-inc
Big Red Mining Corp.,RED,Mining,,,CAD,2021-11-08 05:00:00,https://thecse.com/en/listings/mining/big-red-mining-corp
BIGG Digital Assets Inc,BIGG,Technology,Blockchain,CSE25,CAD,2017-12-06 05:00:00,https://thecse.com/en/listings/technology/bigg-digital-assets-inc
Billy Goat Brands Ltd.,GOAT,Diversified Industries,,CSE Composite,CAD,2021-09-16 04:00:00,https://thecse.com/en/listings/diversified-industries/billy-goat-brands-ltd
Biocure Technology Inc.,CURE,Life Sciences,,CSE Composite,CAD,2017-11-29 05:00:00,https://thecse.com/en/listings/life-sciences/biocure-technology-inc
BioHarvest Sciences Inc.,BHSC,Life Sciences,Cannabis,CSE Composite,CAD,2020-04-23 04:00:00,https://thecse.com/en/listings/life-sciences/bioharvest-sciences-inc
BioMark Diagnostics Inc.,BUX,Life Sciences,,CSE Composite,CAD,2015-09-02 04:00:00,https://thecse.com/en/listings/life-sciences/biomark-diagnostics-inc
Biome Grow Inc.,BIO,Life Sciences,Cannabis,,CAD,2018-10-09 04:00:00,https://thecse.com/en/listings/life-sciences/biome-grow-inc
BIOSENTA Inc.,ZRO,Diversified Industries,,CSE Composite,CAD,2015-09-11 04:00:00,https://thecse.com/en/listings/diversified-industries/biosenta-inc
BioVaxys Technology Corp.,BIOV,Life Sciences,,CSE Composite,CAD,2020-10-06 04:00:00,https://thecse.com/en/listings/life-sciences/biovaxys-technology-corp
Bird River Resources Inc.,BDR,Oil and Gas,,,CAD,2015-10-09 04:00:00,https://thecse.com/en/listings/oil-and-gas/bird-river-resources-inc
BitRush Corp.,BRH,Technology,,,CAD,2015-09-14 04:00:00,https://thecse.com/en/listings/technology/bitrush-corp
Black Tusk Resources Inc.,TUSK,Mining,,,CAD,2017-11-10 05:00:00,https://thecse.com/en/listings/mining/black-tusk-resources-inc
Blackhawk Growth Corp.,BLR,Diversified Industries,,CSE Composite,CAD,2019-03-05 05:00:00,https://thecse.com/en/listings/diversified-industries/blackhawk-growth-corp
Blackhawk Growth Corp. 17DEC2024 Wts.,BLR.WT,Diversified Industries,,,CAD,2020-05-05 04:00:00,https://thecse.com/en/listings/diversified-industries/blackhawk-growth-corp-17dec2024-wts
Blanton Resources Corp.,BLNT,Mining,,,CAD,2021-12-23 05:00:00,https://thecse.com/en/listings/mining/blanton-resources-corp
Blender Bites Limited,BITE,Diversified Industries,,CSE Composite,CAD,2021-09-21 04:00:00,https://thecse.com/en/listings/diversified-industries/blender-bites-limited
Blockchain Foundry Inc,BCFN,Technology,Blockchain,CSE Composite,CAD,2018-05-14 04:00:00,https://thecse.com/en/listings/technology/blockchain-foundry-inc
Bloom Health Partners Inc. (formerly was MTEC/Maitri Health Technologies Corp. until 2021-10-29),BLMH,Diversified Industries,,CSE Composite,CAD,2020-11-19 05:00:00,https://thecse.com/en/listings/diversified-industries/bloom-health-partners-inc-(formerly-was-mtec/maitri-health-technologies-corp-until-2021-10-29)
Blue Lagoon Resources Inc.,BLLG,Mining,,CSE Composite,CAD,2019-07-04 04:00:00,https://thecse.com/en/listings/mining/blue-lagoon-resources-inc
Blueberries Medical Corp.,BBM,Life Sciences,Cannabis,CSE Composite,CAD,2019-02-06 05:00:00,https://thecse.com/en/listings/life-sciences/blueberries-medical-corp
Bluesky Digital Assets Corp.,BTC,Diversified Industries,Blockchain,CSE Composite,CAD,2016-05-18 04:00:00,https://thecse.com/en/listings/diversified-industries/bluesky-digital-assets-corp
Bluesky Digital Assets Corp. Pr A,BTC.PR.A,Diversified Industries,Blockchain,,CAD,2016-09-12 04:00:00,https://thecse.com/en/listings/diversified-industries/bluesky-digital-assets-corp-pr-a
BnSellit Technology Inc,BNSL,Technology,,CSE Composite,CAD,2021-09-29 04:00:00,https://thecse.com/en/listings/technology/bnsellit-technology-inc
Body and Mind Inc.,BAMM,Life Sciences,US Cannabis,CSE Composite,CAD,2017-12-07 05:00:00,https://thecse.com/en/listings/life-sciences/body-and-mind-inc
Bolt Metals Corp.,BOLT,Mining,,,CAD,2017-10-24 04:00:00,https://thecse.com/en/listings/mining/bolt-metals-corp
Bond Resources Inc.,BJB,Mining,,CSE Composite,CAD,2020-05-20 04:00:00,https://thecse.com/en/listings/mining/bond-resources-inc
Boosh Plant-Based Brands Inc.,VEGI,Life Sciences,,CSE Composite,CAD,2021-05-26 04:00:00,https://thecse.com/en/listings/life-sciences/boosh-plant-based-brands-inc
Brascan Gold Inc,BRAS,Mining,,CSE Composite,CAD,2021-10-13 04:00:00,https://thecse.com/en/listings/mining/brascan-gold-inc
Braxia Scientific Corp (formerly was SHRM/Champignon Brands Inc. until 2021-05-04),BRAX,Diversified Industries,,CSE Composite,CAD,2020-03-02 05:00:00,https://thecse.com/en/listings/diversified-industries/braxia-scientific-corp-(formerly-was-shrm/champignon-brands-inc-until-2021-05-04)
