Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls
BZAM Ltd.12JUNE2024 Warrants (formerly was TGOD.WR/The Green Organic Dutchman Holdings Ltd. Wts. until 2023-02-22),BZAM.WR,Life Sciences,,,CAD,2021-09-13 04:00:00,https://thecse.com/en/listings/life-sciences/bzam-ltd12june2024-warrants-(formerly-was-tgodwr/the-green-organic-dutchman-holdings-ltd-wts-until-2023-02-22)
C21 Investments Inc.,CXXI,Life Sciences,US Cannabis,,CAD,2018-06-18 04:00:00,https://thecse.com/en/listings/life-sciences/c21-investments-inc
C2C Gold Corp,CTOC,Mining,,CSE Composite,CAD,2015-09-02 04:00:00,https://thecse.com/en/listings/mining/c2c-gold-corp
Camarico Investment Group Ltd.,CIG,Life Sciences,,,CAD,2019-08-13 04:00:00,https://thecse.com/en/listings/life-sciences/camarico-investment-group-ltd
Canada House Wellness Group Inc.,CHV,Life Sciences,Cannabis,,CAD,2015-03-13 04:00:00,https://thecse.com/en/listings/life-sciences/canada-house-wellness-group-inc
Canadian Copper Inc.,CCI,Mining,,CSE Composite,CAD,2022-07-26 04:00:00,https://thecse.com/en/listings/mining/canadian-copper-inc
Canadian GoldCamps Corp.,CAMP,Mining,,,CAD,2016-08-05 04:00:00,https://thecse.com/en/listings/mining/canadian-goldcamps-corp
Canadian Metals Inc.,CME,Mining,,CSE Composite,CAD,2015-09-01 04:00:00,https://thecse.com/en/listings/mining/canadian-metals-inc
Canadian Nexus Team Ventures Corp,TEAM,Technology,,,CAD,2018-01-24 05:00:00,https://thecse.com/en/listings/technology/canadian-nexus-team-ventures-corp
Canadian Overseas Petroleum Limited,XOP,Oil and Gas,,CSE Composite,CAD,2018-10-31 04:00:00,https://thecse.com/en/listings/oil-and-gas/canadian-overseas-petroleum-limited
Canadian Palladium Resources Inc.,BULL,Mining,,CSE Composite,CAD,2016-02-23 05:00:00,https://thecse.com/en/listings/mining/canadian-palladium-resources-inc
CanaFarma Hemp Products Corp.,CNFA,Life Sciences,Cannabis,,CAD,2020-03-19 04:00:00,https://thecse.com/en/listings/life-sciences/canafarma-hemp-products-corp
Canamera Energy Metals Corp.,EMET,Mining,,CSE Composite,CAD,2020-03-05 05:00:00,https://thecse.com/en/listings/mining/canamera-energy-metals-corp
Canamex Gold Corp.,CSQ,Mining,,,CAD,2018-05-07 04:00:00,https://thecse.com/en/listings/mining/canamex-gold-corp
Cannabix Technologies Inc.,BLO,Technology,Cannabis,CSE Composite,CAD,2015-09-01 04:00:00,https://thecse.com/en/listings/technology/cannabix-technologies-inc
Cannibble Food-Tech Ltd,PLCN,Life Sciences,,,CAD,2022-03-03 05:00:00,https://thecse.com/en/listings/life-sciences/cannibble-food-tech-ltd
Canntab Therapeutics Limited,PILL,Life Sciences,Cannabis,,CAD,2018-04-20 04:00:00,https://thecse.com/en/listings/life-sciences/canntab-therapeutics-limited
Cansortium Inc.,TIUM.U,Life Sciences,US Cannabis,,USD,2019-03-21 04:00:00,https://thecse.com/en/listings/life-sciences/cansortium-inc
Canter Resources Corp,CRC,Mining,,,CAD,2021-12-20 05:00:00,https://thecse.com/en/listings/mining/canter-resources-corp
Caprock Mining Corp,CAPR,Mining,,,CAD,2022-01-26 05:00:00,https://thecse.com/en/listings/mining/caprock-mining-corp
Captiva Verde Wellness Corp.,PWR,Life Sciences,Cannabis,CSE Composite,CAD,2018-10-10 04:00:00,https://thecse.com/en/listings/life-sciences/captiva-verde-wellness-corp
